step, mean infection rate, std. dev
0,0.0100,0.0000
600,0.0150,0.0078
1200,0.0268,0.0176
1800,0.0416,0.0290
2400,0.0602,0.0417
3000,0.0890,0.0611
3600,0.1228,0.0877
4200,0.1704,0.1136
4800,0.2202,0.1369
5400,0.2872,0.1646
6000,0.3572,0.1911
6600,0.4412,0.2142
7200,0.5246,0.2233
7800,0.5992,0.2248
8400,0.6760,0.2251
9000,0.7434,0.2094
9600,0.8046,0.1853
10200,0.8552,0.1566
10800,0.8924,0.1245
11400,0.9210,0.0989
12000,0.9440,0.0791
12600,0.9590,0.0658
13200,0.9714,0.0514
13800,0.9798,0.0378
14400,0.9848,0.0262
15000,0.9898,0.0179
15600,0.9920,0.0150
16200,0.9952,0.0098
16800,0.9962,0.0087
17400,0.9978,0.0058
18000,0.9984,0.0046
18600,0.9992,0.0034
19200,0.9994,0.0031
19800,0.9998,0.0014
20400,0.9998,0.0014
21000,0.9998,0.0014
21600,1.0000,0.0000
